"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","1,829.70","1,828.50","1,830.20","1,823.60","0.02K","0.79%"
"12/30/2021","1,815.30","1,815.30","1,815.30","1,815.30","113.43K","0.53%"
"12/29/2021","1,805.80","1,806.60","1,808.00","1,789.10","138.69K","-0.28%"
"12/28/2021","1,810.90","1,812.10","1,821.60","1,805.50","100.54K","0.12%"
"12/27/2021","1,808.80","1,810.20","1,814.60","1,803.60","84.23K","-0.16%"
"12/23/2021","1,811.70","1,805.60","1,812.00","1,799.00","104.84K","0.53%"
"12/22/2021","1,802.20","1,789.40","1,806.30","1,785.80","110.41K","0.75%"
"12/21/2021","1,788.70","1,791.40","1,801.70","1,785.00","134.15K","-0.33%"
"12/20/2021","1,794.60","1,800.20","1,804.60","1,789.00","105.39K","-0.57%"
"12/17/2021","1,804.90","1,801.50","1,815.70","1,796.50","156.61K","0.37%"
"12/16/2021","1,798.20","1,777.90","1,800.70","1,775.70","167.78K","1.91%"
"12/15/2021","1,764.50","1,771.90","1,781.30","1,753.00","161.10K","-0.44%"
"12/14/2021","1,772.30","1,787.60","1,789.80","1,766.10","153.25K","-0.89%"
"12/13/2021","1,788.30","1,784.20","1,792.80","1,782.20","106.06K","0.20%"
"12/10/2021","1,784.80","1,776.30","1,791.00","1,770.40","142.00K","0.46%"
"12/09/2021","1,776.70","1,784.30","1,788.40","1,773.30","123.97K","-0.49%"
"12/08/2021","1,785.50","1,785.10","1,794.30","1,780.10","109.69K","0.04%"
"12/07/2021","1,784.70","1,779.50","1,789.30","1,772.40","129.89K","0.29%"
"12/06/2021","1,779.50","1,787.70","1,789.00","1,776.40","104.48K","-0.25%"
"12/03/2021","1,783.90","1,769.40","1,788.00","1,766.00","175.18K","1.20%"
"12/02/2021","1,762.70","1,783.80","1,785.20","1,762.20","172.72K","-1.21%"
"12/01/2021","1,784.30","1,777.40","1,795.70","1,773.70","180.34K","0.44%"
"11/30/2021","1,776.50","1,786.90","1,811.40","1,771.20","242.86K","-0.49%"
"11/29/2021","1,785.20","1,795.20","1,801.50","1,782.00","151.37K","-0.10%"
"11/26/2021","1,786.90","1,788.40","1,817.70","1,780.50","2.97K","-0.07%"
"11/25/2021","1,788.10","1,792.30","1,819.30","1,781.60","180.64K","0.14%"
"11/24/2021","1,785.60","1,793.40","1,797.00","1,779.20","0.97K","0.03%"
"11/23/2021","1,785.10","1,810.40","1,813.10","1,783.10","1.86K","-1.25%"
"11/22/2021","1,807.70","1,843.00","1,851.10","1,804.00","1.18K","-2.44%"
"11/19/2021","1,852.90","1,864.20","1,869.00","1,846.00","0.54K","-0.53%"
"11/18/2021","1,862.70","1,869.80","1,874.50","1,858.30","0.49K","-0.47%"
"11/17/2021","1,871.50","1,852.70","1,871.10","1,852.70","0.24K","0.87%"
"11/16/2021","1,855.40","1,867.00","1,880.10","1,852.40","0.65K","-0.67%"
"11/15/2021","1,868.00","1,870.10","1,873.10","1,860.00","0.24K","-0.09%"
"11/12/2021","1,869.70","1,865.90","1,872.20","1,849.80","0.24K","0.24%"
"11/11/2021","1,865.20","1,855.50","1,868.90","1,847.00","0.19K","0.85%"
"11/10/2021","1,849.50","1,827.80","1,869.80","1,827.80","0.23K","0.96%"
"11/09/2021","1,832.00","1,828.30","1,835.10","1,822.70","0.14K","0.15%"
"11/08/2021","1,829.20","1,818.50","1,829.20","1,815.50","0.12K","0.62%"
"11/05/2021","1,818.00","1,792.90","1,820.70","1,788.20","0.10K","1.30%"
"11/04/2021","1,794.70","1,773.00","1,800.70","1,773.00","0.03K","1.68%"
"11/03/2021","1,765.10","1,777.00","1,777.30","1,762.30","0.13K","-1.42%"
"11/02/2021","1,790.60","1,797.10","1,797.10","1,790.20","0.01K","-0.35%"
"11/01/2021","1,796.90","1,785.50","1,796.90","1,783.10","0.03K","0.67%"
"10/29/2021","1,784.90","1,789.30","1,789.30","1,776.90","0.02K","-1.04%"
"10/28/2021","1,803.60","1,803.60","1,803.60","1,803.60","220.88K","0.27%"
"10/27/2021","1,798.80","1,795.00","1,801.00","1,784.30","182.80K","0.30%"
"10/26/2021","1,793.40","1,808.70","1,809.80","1,783.00","197.93K","-0.74%"
"10/25/2021","1,806.80","1,794.20","1,811.50","1,793.00","153.59K","0.58%"
"10/22/2021","1,796.30","1,783.70","1,815.50","1,783.40","312.81K","0.81%"
"10/21/2021","1,781.90","1,782.50","1,790.30","1,776.80","138.73K","-0.17%"
"10/20/2021","1,784.90","1,769.40","1,789.60","1,767.10","174.08K","0.81%"
"10/19/2021","1,770.50","1,764.80","1,786.00","1,763.40","166.97K","0.27%"
"10/18/2021","1,765.70","1,767.50","1,772.50","1,760.30","152.74K","-0.15%"
"10/15/2021","1,768.30","1,797.30","1,797.70","1,765.10","202.63K","-1.65%"
"10/14/2021","1,797.90","1,793.60","1,801.90","1,787.60","164.65K","0.18%"
"10/13/2021","1,794.70","1,760.40","1,797.40","1,757.90","299.04K","2.01%"
"10/12/2021","1,759.30","1,753.60","1,770.00","1,750.50","168.11K","0.21%"
"10/11/2021","1,755.70","1,757.40","1,761.10","1,749.90","114.77K","-0.10%"
"10/08/2021","1,757.40","1,757.00","1,782.40","1,753.60","240.37K","-0.10%"
"10/07/2021","1,759.20","1,763.80","1,767.70","1,752.00","146.41K","-0.15%"
"10/06/2021","1,761.80","1,760.50","1,765.90","1,745.40","159.22K","0.05%"
"10/05/2021","1,760.90","1,770.80","1,771.10","1,748.60","151.42K","-0.38%"
"10/04/2021","1,767.60","1,762.60","1,771.50","1,747.70","166.18K","0.52%"
"10/01/2021","1,758.40","1,757.20","1,765.20","1,749.90","151.20K","0.08%"
"09/30/2021","1,757.00","1,726.00","1,765.00","1,721.80","246.37K","1.98%"
"09/29/2021","1,722.90","1,734.00","1,746.00","1,721.10","177.39K","-0.81%"
"09/28/2021","1,737.00","1,750.00","1,752.90","1,728.00","0.96K","-0.82%"
"09/27/2021","1,751.40","1,749.20","1,759.50","1,744.90","0.91K","0.03%"
"09/24/2021","1,750.90","1,744.90","1,756.10","1,740.00","0.54K","0.11%"
"09/23/2021","1,748.90","1,767.30","1,775.10","1,740.00","0.87K","-1.63%"
"09/22/2021","1,777.90","1,772.60","1,784.50","1,765.00","0.12K","0.03%"
"09/21/2021","1,777.30","1,764.00","1,780.70","1,757.80","0.59K","0.82%"
"09/20/2021","1,762.90","1,752.20","1,766.60","1,743.50","0.36K","0.71%"
"09/17/2021","1,750.50","1,755.30","1,765.60","1,748.00","0.46K","-0.30%"
"09/16/2021","1,755.70","1,795.40","1,795.40","1,744.70","0.09K","-2.12%"
"09/15/2021","1,793.70","1,804.10","1,804.10","1,792.00","0.01K","-0.69%"
"09/14/2021","1,806.10","1,789.50","1,808.00","1,781.00","0.03K","0.71%"
"09/13/2021","1,793.30","1,788.30","1,794.50","1,788.30","0.01K","0.13%"
"09/10/2021","1,791.00","1,804.20","1,804.20","1,788.30","0.01K","-0.44%"
"09/09/2021","1,798.90","1,794.10","1,796.90","1,788.30","0.03K","0.36%"
"09/08/2021","1,792.40","1,799.00","1,799.00","1,785.00","0.01K","-0.28%"
